,time,rri,RRI
,16:03:35,0,NaN
,16:03:36,0,NaN
,16:03:37,0,NaN
,16:03:38,0,NaN
,16:03:39,0,NaN
,16:03:40,0,NaN
,16:03:41,0,NaN
,16:03:42,0,NaN
,16:03:43,0,NaN
,16:03:44,1.45,1.45
84,16:03:45,0,NaN
,16:03:46,0,NaN
,16:03:47,0,NaN
,16:03:48,0,NaN
,16:03:49,1.4,1.4
,16:03:50,0,NaN
86,16:03:51,0,NaN
,16:03:52,0,NaN
,16:03:53,0,NaN
,16:03:54,1.383333333,1.383333333
,16:03:55,0,NaN
,16:03:56,0,NaN
86,16:03:57,0,NaN
,16:03:58,0,NaN
,16:03:59,1.383333333,1.383333333
,16:04:00,0,NaN
,16:04:01,0,NaN
,16:04:02,0,NaN
,16:04:03,0,NaN
,16:04:04,1.366666667,1.366666667
,16:04:05,0,NaN
,16:04:06,0,NaN
,16:04:07,0,NaN
85,16:04:08,0,NaN
,16:04:09,1.333333333,1.333333333
,16:04:10,0,NaN
,16:04:11,0,NaN
,16:04:12,0,NaN
,16:04:13,0,NaN
,16:04:14,1.316666667,1.316666667
,16:04:15,0,NaN
,16:04:16,0,NaN
,16:04:17,0,NaN
,16:04:18,0,NaN
,16:04:19,1.333333333,1.333333333
,16:04:20,0,NaN
,16:04:21,0,NaN
,16:04:22,0,NaN
,16:04:23,0,NaN
87,16:04:24,1.333333333,1.333333333
,16:04:25,0,NaN
,16:04:26,0,NaN
,16:04:27,0,NaN
,16:04:28,0,NaN
,16:04:29,0,NaN
90,16:04:30,0,NaN
,16:04:31,0,NaN
,16:04:32,0,NaN
,16:04:33,0,NaN
,16:04:34,1.333333333,1.333333333
,16:04:35,0,NaN
88,16:04:36,0,NaN
,16:04:37,0,NaN
,16:04:38,0,NaN
,16:04:39,1.333333333,1.333333333
,16:04:40,0,NaN
,16:04:41,0,NaN
89,16:04:42,0,NaN
,16:04:43,0,NaN
,16:04:44,0,NaN
,16:04:45,0,NaN
,16:04:46,0,NaN
,16:04:47,0,NaN
90,16:04:48,0,NaN
,16:04:49,1.316666667,1.316666667
,16:04:50,0,NaN
,16:04:51,0,NaN
,16:04:52,0,NaN
,16:04:53,0,NaN
,16:04:54,1.35,1.35
,16:04:55,0,NaN
,16:04:56,0,NaN
,16:04:57,0,NaN
,16:04:58,0,NaN
87,16:04:59,1.383333333,1.383333333
,16:05:00,0,NaN
,16:05:01,0,NaN
,16:05:02,0,NaN
,16:05:03,0,NaN
,16:05:04,1.333333333,1.333333333
86,16:05:05,0,NaN
,16:05:06,0,NaN
,16:05:07,0,NaN
,16:05:08,0,NaN
,16:05:09,1.333333333,1.333333333
,16:05:10,0,NaN
,16:05:11,0,NaN
,16:05:12,0,NaN
,16:05:13,0,NaN
,16:05:14,0,NaN
,16:05:15,0,NaN
87,16:05:16,0,NaN
,16:05:17,0,NaN
,16:05:18,0,NaN
,16:05:19,0,NaN
,16:05:20,0,NaN
,16:05:21,0,NaN
84,16:05:22,0,NaN
,16:05:23,0,NaN
,16:05:24,1.333333333,1.333333333
,16:05:25,0,NaN
,16:05:26,0,NaN
,16:05:27,0,NaN
83,16:05:28,0,NaN
,16:05:29,0,NaN
,16:05:30,0,NaN
,16:05:31,0,NaN
,16:05:32,0,NaN
,16:05:33,0,NaN
83,16:05:34,1.35,1.35
,16:05:35,0,NaN
,16:05:36,0,NaN
,16:05:37,0,NaN
,16:05:38,0,NaN
,16:05:39,0,NaN
82,16:05:40,0,NaN
,16:05:41,0,NaN
,16:05:42,0,NaN
,16:05:43,0,NaN
,16:05:44,1.333333333,1.333333333
,16:05:45,0,NaN
80,16:05:46,0,NaN
,16:05:47,0,NaN
,16:05:48,0,NaN
,16:05:49,0,NaN
